"Date","Site","Array","Trap","trap_type","Taxa","SppCode","Toeclip","Recap","SVL","VTL","weight","weight_flag","Sex","OrigTail","Comments","Dead","Hatchling"
2010-10-21,"GWA1","1","A1","pitfall","Lizard","ASTI","A2B5","N",47,116,2.5,NA,"U",NA,NA,"N","Y"
2010-10-21,"GWA2","2","A1","pitfall","Lizard","ASTI","A3B2","N",53,128,3.5,NA,"U",NA,NA,"N","Y"
2010-10-21,"GWA2","2","C2","funnel","Lizard","ASTI","A3B3","N",50,124,3,NA,"U",NA,NA,"N","Y"
2010-11-03,"GWA1","1","A1","pitfall","Lizard","UTST","A1C5","N",59,100,7.5,NA,"M",NA,NA,"N","N"
2010-11-03,"GWA1","1","Cfence","hand captured","Lizard","UTST","A1D1","N",56,103,6.5,NA,"M",NA,"under C2 funnel","N","N"
2010-11-03,"GWA2","1","B3","funnel","Lizard","ASTI",NA,NA,NA,NA,NA,NA,"U",NA,"escaped funnel","N",NA
2010-11-03,"GWA2","2","C4","pitfall","Lizard","ASTI","A3B2","Y",55,134,4,NA,"F",NA,NA,"N","N"
2010-11-04,"GWA1","1","A1","pitfall","Lizard","UTST","A1D1","Y",56,104,6,NA,"M",NA,NA,"N","N"
2010-11-04,"GWA1","1","A1","pitfall","Lizard","UTST","A1D2","N",52,86,5,NA,"F",NA,NA,"N","N"
2010-11-04,"GWA2","2","B2","funnel","Lizard","UTST","A1D3","Y",44,78,2.5,NA,"F",NA,NA,"N","N"
2010-11-05,"GWA1","2","A1","pitfall","Lizard","ASTI",NA,NA,NA,NA,NA,NA,"U",NA,"DIT, ants","Y","Y"
2010-11-05,"GWA1","2","B4","pitfall","Lizard","COVA","A3","N",31,31,0.5,NA,"M",NA,NA,"N","Y"
2010-11-05,"GWA2","1","A4","pitfall","Lizard","COVA","A5","Y",37,36,0.75,NA,"M",NA,NA,"N","N"
2010-11-05,"GWA2","1","A4","pitfall","Lizard","UTST","A1D5","N",55,100,5.5,NA,"M",NA,NA,"N","N"
2010-11-15,"GWA1","2","Afence","hand captured","Lizard","UTST","A1D3","N",56,90,5.5,NA,"F",NA,"under A3 funnel","N","N"
2010-11-15,"GWA2","1","B4","pitfall","Lizard","UTST","A1C1","Y",59,70,6.5,NA,"M",11,NA,"N","N"
2010-11-16,"GWA2","2","B4","pitfall","Lizard","UTST","A1D3","Y",45,78,3,NA,"F",NA,NA,"N","N"
2010-11-17,"GWA2","2","C3","funnel","Lizard","UTST","A1D1","Y",56,83,6,NA,"M",35,NA,"N","N"
2010-11-18,"GWA2","2","C3","funnel","Lizard","UTST","A2B1","N",60,97,7.5,NA,"M",62,NA,"N","N"
2010-11-19,"GWA1","1","C3","funnel","Lizard","UTST","A1D5","N",56,77,6.5,NA,"M",24,NA,"N","N"
2010-11-19,"GWA2","1","C2","funnel","Snake","CRSC",NA,NA,NA,NA,NA,NA,"U",NA,"mojave rattlesnake","N","N"
2010-12-07,"GWA2","2","A1","pitfall","Lizard","UTST","A2B2","Y",54,75,6.5,NA,"M",20,NA,"N","N"
2010-12-08,"GWA2","1","B4","pitfall","Lizard","UTST","A2B3","N",51,84,4.5,NA,"F",NA,NA,"N","N"
2011-01-20,"GWA2","1","B2","funnel","Lizard","UTST","A1C1","Y",59,71,6.5,NA,"M",10,NA,"N","N"
2011-01-20,"GWA2","2","B3","funnel","Lizard","UTST","A1D1","Y",57,83,6.5,NA,"M",34,NA,"N","N"
2011-01-21,"GWA1","2","A2","funnel","Lizard","UTST","A2B1","N",59,107,7,NA,"M",NA,NA,"N","N"
2011-01-21,"GWA1","2","A3","funnel","Lizard","UTST","A2B2","N",58,108,6.5,NA,"M",NA,NA,"N","N"
2011-01-21,"GWA2","1","A2","funnel","Lizard","UTST","A2B3","Y",53,83,4.5,NA,"F",NA,NA,"N","N"
2011-01-22,"GWA1","2","A3","funnel","Lizard","UTST","A1C1","Y",57,99,6.5,NA,"M",NA,NA,"N","N"
2011-01-22,"GWA1","2","A3","funnel","Lizard","UTST","A1D3","Y",57,92,5.5,NA,"F",NA,NA,"N","N"
2011-01-22,"GWA2","1","C3","funnel","Lizard","UTST","A2B3","Y",51,85,4.5,NA,"F",NA,NA,"N","N"
2011-01-23,"GWA1","2","A1","pitfall","Lizard","UTST","A2B1","Y",60,107,8,NA,"M",NA,"ran into trap while checking","N","N"
